,latitude,longitude,state,county,reg_mult,feedstock region
40789,37.117,-106.369,Colorado,Conejos,1.0348371,Mountain
40790,41.245,-104.989,Wyoming,Laramie,1.0335002,Mountain
40791,42.083,-104.07,Wyoming,Goshen,1.0317532,Mountain
40792,33.08,-116.55,California,San Diego,1.1164002,Pacific
40793,46.794,-101.517,NorthDakota,Morton,1.0430094,West North Central
40794,34.793,-100.436,Texas,Collingsworth,1.0171942,West South Central
40795,34.272,-82.711,SouthCarolina,Anderson,0.94303834,South Atlantic
40796,39.53,-81.778,Ohio,Morgan,0.99926895,East North Central
40797,37.01,-98.387,Kansas,Barber,1.0298183,West North Central
40798,33.843,-99.197,Texas,Wilbarger,1.002869,West South Central
40799,36.061,-102.954,Texas,Dallam,1.0296948,West South Central
40800,27.488,-97.976,Texas,Kleberg,0.9560506,West South Central
40801,47.707,-100.465,NorthDakota,Sheridan,1.0437641,West North Central
40802,43.662,-85.1,Michigan,Mecosta,1.0049648,East North Central
40803,34.472,-96.98,Oklahoma,Murray,0.99495006,West South Central
40804,32.954,-86.86,Alabama,Chilton,0.95144314,East South Central
40805,39.125,-86.143,Indiana,Brown,0.9860298,East North Central
40806,41.009,-89.942,Illinois,Stark,1.0576667,East North Central
40807,37.957,-109.16,Utah,San Juan,1.0385365,Mountain
40808,35.79,-82.962,NorthCarolina,Haywood,0.94757724,South Atlantic
40809,36.653,-91.286,Missouri,Oregon,0.99688274,West North Central
40810,46.249,-110.084,Montana,Wheatland,1.0703236,Mountain
40811,41.367,-84.614,Ohio,Defiance,1.0133641,East North Central
40812,41.409,-122.028,California,Siskiyou,1.1164521,Pacific
40813,42.455,-114.05,Idaho,Cassia,1.0647057,Mountain
40814,29.601,-97.659,Texas,Gonzales,0.9508655,West South Central
40815,41.993,-105.543,Wyoming,Albany,1.0334553,Mountain
40816,41.296,-92.697,Iowa,Mahaska,1.0465778,West North Central
40817,31.701,-95.037,Texas,Cherokee,0.9556098,West South Central
40818,35.076,-107.138,NewMexico,Cibola,1.0401725,Mountain
40819,34.533,-99.229,Oklahoma,Jackson,1.0083838,West South Central
40820,35.043,-120.286,California,San Luis Obispo,1.1359363,Pacific
40821,32.374,-93.488,Louisiana,Bossier,0.9644019,West South Central
40822,40.476,-75.84,Pennsylvania,Berks,1.051561,Middle Atlantic
40823,41.649,-91.354,Iowa,Cedar,1.0564615,West North Central
40824,30.636,-91.791,Louisiana,St. Landry,0.94862705,West South Central
40825,30.795,-90.776,Louisiana,St. Helena,0.9448572,West South Central
40826,43.965,-106.777,Wyoming,Johnson,1.0379957,Mountain
40827,47.435,-99.633,NorthDakota,Wells,1.0436608,West North Central
40828,44.254,-97.139,SouthDakota,Kingsbury,1.0535346,West North Central
40829,43.573,-95.002,Minnesota,Jackson,1.061823,West North Central
40830,42.211,-106.622,Wyoming,Carbon,1.0354003,Mountain
40831,46.601,-103.74,NorthDakota,Slope,1.0406336,West North Central
40832,42.664,-99.203,Nebraska,Holt,1.0401621,West North Central
40833,44.953,-90.94,Wisconsin,Chippewa,1.0582764,East North Central
40834,35.195,-85.091,Tennessee,Hamilton,0.9501401,East South Central
40835,38.704,-100.979,Kansas,Logan,1.0308121,West North Central
40836,42.347,-122.431,Oregon,Jackson,1.1087744,Pacific
40837,48.697,-112.384,Montana,Glacier,1.0745256,Mountain
40838,34.172,-107.26,NewMexico,Socorro,1.0383291,Mountain
40839,33.516,-113.75,Arizona,La Paz,1.0217162,Mountain
40840,37.897,-93.837,Missouri,St. Clair,1.0182874,West North Central
40841,42.588,-98.004,Nebraska,Knox,1.0439823,West North Central
40842,30.935,-83.309,Georgia,Lowndes,0.95521444,South Atlantic
40843,45.726,-109.322,Montana,Stillwater,1.0609697,Mountain
40844,43.31,-88.957,Wisconsin,Dodge,1.0389575,East North Central
40845,46.368,-110.917,Montana,Meagher,1.074608,Mountain
40846,26.366,-98.542,Texas,Starr,0.96112025,West South Central
40847,42.931,-115.724,Idaho,Owyhee,1.056112,Mountain
40848,48.567,-112.682,Montana,Glacier,1.0740517,Mountain
40849,41.891,-122.695,California,Siskiyou,1.1138166,Pacific
40850,34.174,-103.164,NewMexico,Roosevelt,1.0204965,Mountain
40851,40.471,-111.579,Utah,Wasatch,1.0597367,Mountain
40852,29.512,-95.929,Texas,Fort Bend,0.93934304,West South Central
40853,35.207,-92.185,Arkansas,Faulkner,0.97189575,West South Central
40854,33.137,-89.828,Mississippi,Holmes,0.9645196,East South Central
40855,38.156,-87.827,Indiana,Posey,0.9956104,East North Central
40856,32.392,-83.832,Georgia,Houston,0.95046586,South Atlantic
40857,44.808,-71.479,NewHampshire,Coos,1.0734416,New England
40858,39.217,-102.721,Colorado,Kit Carson,1.0306665,Mountain
40859,45.445,-105.159,Montana,Powder River,1.0343999,Mountain
40860,39.378,-86.961,Indiana,Clay,0.9979332,East North Central
40861,35.331,-82.373,NorthCarolina,Henderson,0.9394962,South Atlantic
40862,35.205,-105.547,NewMexico,San Miguel,1.0389248,Mountain
40863,35.162,-95.123,Oklahoma,Haskell,0.9919091,West South Central
40864,44.452,-108.106,Wyoming,Big Horn,1.0462358,Mountain
40865,48.543,-109.829,Montana,Hill,1.0735437,Mountain
40866,36.635,-94.968,Oklahoma,Delaware,1.0146207,West South Central
40867,33.033,-102.272,Texas,Terry,1.0113326,West South Central
40868,38.577,-82.127,WestVirginia,Mason,0.99586046,South Atlantic
40869,34.653,-87.039,Alabama,Limestone,0.95018744,East South Central
40870,35.615,-92.7,Arkansas,Van Buren,0.9760355,West South Central
40871,41.653,-79.505,Pennsylvania,Warren,1.0229334,Middle Atlantic
40872,34.649,-93.54,Arkansas,Montgomery,0.9739573,West South Central
40873,44.414,-99.45,SouthDakota,Hyde,1.0400418,West North Central
40874,46.511,-67.921,Maine,Aroostook,1.0782915,New England
40875,43.606,-100.468,SouthDakota,Mellette,1.0340252,West North Central
40876,39.934,-105.526,Colorado,Boulder,1.0282435,Mountain
40877,32.381,-85.9,Alabama,Macon,0.95014626,East South Central
40878,34.66,-97.777,Oklahoma,Stephens,1.0055468,West South Central
40879,45.894,-67.895,Maine,Aroostook,1.0784669,New England
40880,40.992,-92.276,Iowa,Wapello,1.0487585,West North Central
40881,34.93,-105.243,NewMexico,Guadalupe,1.0381784,Mountain
40882,44.062,-101.421,SouthDakota,Haakon,1.0291197,West North Central
40883,26.99,-97.605,Texas,Kenedy,0.9540095,West South Central
40884,34.405,-107.962,NewMexico,Catron,1.0380017,Mountain
40885,41.527,-80.134,Pennsylvania,Crawford,1.0241283,Middle Atlantic
40886,43.865,-71.869,NewHampshire,Grafton,1.0777197,New England
40887,34.707,-100.032,Texas,Childress,1.01574,West South Central
40888,47.46,-123.348,Washington,Mason,1.0444851,Pacific
40889,43.581,-101.226,SouthDakota,Mellette,1.0306851,West North Central
40890,43.612,-70.4,Maine,Cumberland,1.0749236,New England
40891,46.574,-112.751,Montana,Powell,1.0730288,Mountain
40892,40.887,-112.271,Utah,Davis,1.0600158,Mountain
40893,43.591,-91.053,Wisconsin,Vernon,1.051697,East North Central
40894,30.889,-98.191,Texas,Burnet,0.9632636,West South Central
40895,43.863,-94.692,Minnesota,Watonwan,1.0683286,West North Central
40896,29.794,-93.945,Texas,Jefferson,0.9431874,West South Central
40897,45.606,-93.712,Minnesota,Mille Lacs,1.0934952,West North Central
40898,43.985,-118.109,Oregon,Malheur,1.0629538,Pacific
40899,33.998,-105.78,NewMexico,Lincoln,1.036073,Mountain
40900,42.449,-72.432,Massachusetts,Franklin,1.0830004,New England
40901,45.634,-121.01,Oregon,Wasco,1.0790946,Pacific
40902,46.912,-114.975,Idaho,Clearwater,1.0641202,Mountain
40903,44.095,-106.338,Wyoming,Johnson,1.0357169,Mountain
40904,37.591,-112.445,Utah,Garfield,1.0647999,Mountain
40905,46.04,-117.763,Washington,Columbia,1.063003,Pacific
40906,38.205,-120.743,California,Calaveras,1.1332293,Pacific
40907,34.664,-106.139,NewMexico,Torrance,1.0396802,Mountain
40908,30.677,-98.812,Texas,Llano,0.96704185,West South Central
40909,44.663,-74.405,NewYork,Franklin,1.0540717,Middle Atlantic
40910,36.896,-103.862,NewMexico,Union,1.0322841,Mountain
40911,37.993,-110.713,Utah,Garfield,1.0490268,Mountain
40912,36.113,-99.032,Oklahoma,Dewey,1.0223873,West South Central
40913,46.356,-104.664,Montana,Fallon,1.0402206,Mountain
40914,31.6,-109.939,Arizona,Cochise,1.0188686,Mountain
40915,31.993,-101.161,Texas,Sterling,0.9952971,West South Central
40916,31.307,-96.433,Texas,Limestone,0.95229757,West South Central
40917,38.202,-83.332,Kentucky,Rowan,0.97340953,East South Central
40918,43.48,-121.204,Oregon,Lake,1.0897802,Pacific
40919,39.077,-75.843,Maryland,Caroline,1.0553331,South Atlantic
40920,32.604,-102.88,Texas,Gaines,1.0120711,West South Central
40921,40.772,-91.418,Iowa,Lee,1.0541934,West North Central
40922,31.499,-82.956,Georgia,Coffee,0.9532991,South Atlantic
40923,46.625,-106.632,Montana,Rosebud,1.0487002,Mountain
40924,34.435,-81.479,SouthCarolina,Newberry,0.93988925,South Atlantic
40925,37.889,-103.7,Colorado,Otero,1.0317545,Mountain
40926,48.771,-119.703,Washington,Okanogan,1.0571641,Pacific
